PERIOD,SITE_REFERENCE,UPRN,LA_REFERENCE,EASTING,NORTHING,SAO_DESCRIPTION,PAO_DESCRIPTION,STREET_DESCRIPTION,LOCALITY_DESCRIPTION,TOWN_DESCRIPTION,POSTCODE,AUTHORITY,COUNTY,REGION,AREA,LANDTYPE,PREVIOUS_LAND_USE,CURRENT_LAND_USE,PLANNING_STATUS,PROPOSED_USE,HOUSING_SUITABILITY,MOST_SUITABLE_USE,EST_HOUSING_CAPACITY,HOUSING_DENSITY,OWNERSHIP,GENERAL_SITE_INFORMATION
2006,503000012,,04/00633/FULLEIA,532650,180850,,78,CANNON STREET,,LONDON,EC4N 6AP,City of London,G. London,London,0.661,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,UNSPECIFIED USE,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Don't know,
2006,503000038,,02-5210a,533500,181289,,ST BOTOLPHS HOUSE,HOUNDSDITCH,,LONDON,EC3A 7DH,City of London,G. London,London,0.750,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,ALSO INCORPORATED INTO SITE 87 BUT THIS RELATES TO PP FOR ST BOTOLPHS HOUSE ONLY IS STILL EXTANT WHEREAS SITE 87 INCORPORATES ST BOSOLPHS IN A LARGER SCHEME WHICH IS ALSO VALID
2006,503000052,,05/00225/full,531340,181350,,SITE BOUNDED BY BARTLETT COURT NEW STREET SQUARE PRINTER,FETTER LANE,,LONDON,EC4A,City of London,G. London,London,1.270,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,Under Construction
2006,503000076,200000075172,3350,532710,181700,,TENTER HOUSE,MOORFIELDS,,LONDON EC2,EC2,City of London,G. London,London,0.256,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000087,000095500171,5210,533500,181280,,ST BOTOLPHS HOUSE AND 138 TO139 HOUNDSDITCH AMBASSADOR HOUSE,2 WHITE KENNET STREET,,LONDON,EC3,City of London,G. London,London,0.461,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Detailed Planning Permission,Mixed without Housing,No,Mixed,0,0,Private,SITE DETAILS RELATE TO LARGER SCHEME INCORPORATING ST BOTOLPHS HOUSE STILL ACTIVE WHEREAS SITE 38 RELATES TO ST BOTOLPHS HOUSE AND HAS ACTIVE PP ON ITS OWN
2006,503000088,,04/00145/full,532610,180980,,30 TO 37 WALBROOK 11 TO 12 WALBROOK HOUSE GRANITE HOUSE,ST SWITHINS CHURCH GARDEN,,LONDON,EC4,City of London,G. London,London,0.750,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Offices,Detailed Planning Permission,Mixed without Housing,No,Mixed,0,0,Private,
2006,503000107,100023616204,04/00309/full,531580,181370,,FLEET BUILDING,40 SHOE LANE,,LONDON,EC4,City of London,G. London,London,0.582,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000108,000095503636,04/00111/FULEIA,533162,181180,,122,LEADENHALL STREET,,LONDON,,City of London,G. London,London,0.301,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000109,000095505729,04/00184/FULL,533286,181493,,128 TO 150,BISHOPSGATE,,LONDON,,City of London,G. London,London,0.398,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000110,000095506144,05/00348/FULL,532349,181312,,14 TO 18,GRESHAM STREET,,LONDON,,City of London,G. London,London,0.380,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000111,000095500069,05/00431/FULEIA,532242,181157,,SITE AT NEW CHANGE WATLING STREET,CHEAPSIDE,,LONDON,,City of London,G. London,London,1.104,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000112,100022936518,05/00596/FULEIA,532722,180677,RIVERBANK HOUSE,2,SWAN LANE,,LONDON,,City of London,G. London,London,0.382,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000113,100022934355,05/00767/FULL,532349,181312,,CLEMENTS HOUSE,GRESHAM STREET,,LONDON,,City of London,G. London,London,0.380,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000114,000095500074,01-1999DD,532522,181170,,81 TO 90,CHEAPSIDE,,LONDON,,City of London,G. London,London,0.262,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000115,000095500217,96-3342CB,532690,181670,,SITE AT,MOORFIELDS,,LONDON,,City of London,G. London,London,0.710,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000116,000095500164,01-4612CF,531622,181524,,BATH HOUSE 52 TO 60,HOLBORN VIADUCT,,LONDON,,City of London,G. London,London,0.278,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2006,503000117,,05/00105/full,531970,181080,,FARADAY BUILDINGS,QUEEN VICTORIA STREET,,LONDON,EC4V,City of London,G. London,London,0.850,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Offices,Offices,Detailed Planning Permission,Employment,No,Employment,0,0,Private,
2007,506000021,,,543943,183437,,FRESH WHARF ESTATE,FRESH WHARF ROAD,,BARKING,IG11,Barking and Dagenham,G. London,London,7.130,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Detailed Planning Permission,Mixed with Housing,Yes,Mixed,200,30,Private, Application now pending consideration for shops restaurants and cafes. Part of the site has got full planning permission which is why the planning status says full planning permission
2007,506000024,,,548579,188201,,245A,HIGH ROAD,,BARKING,,Barking and Dagenham,G. London,London,0.298,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Storage,PP subject to further legal agreement ,Housing,Yes,Housing,20,67,Private,2 3/4 storey building to provide 42 2 bed flats and one 3 bed with car parking- agreeded subject to 106 agreement
2007,506000111,,,548903,182857,,DAGNITE WORKS,CHEQUERS LANE,,DAGENHAM,,Barking and Dagenham,G. London,London,4.590,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Vacant land,INDUSTRY & BUSINESS,Detailed Planning Permission,Employment,No,Dont't know,0,0,Don't know,Refer to LHCS site 4458. Site also known as Chloride Automotive Batteries. Ref to apps 03/00049/OUT has outline permission + 05/01056/REM application permitted + 05/01057/REM application permitted part of Thames Gateway phase 4
2007,506000112,,,549382,184787,,HEATHWAY CENTRE,HEATHWAY,,DAGENHAM,,Barking and Dagenham,G. London,London,8.980,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,RESIDENTIAL,RESIDENTIAL,Outline Planning Permission,Mixed with Housing,Yes,Housing,336,37,Don't know,Refer To LHCS site 10873.  Current use: mixed (residential office and retail). Outline PP 06/00235/OUT appears to be within LHCS. Permsission granted for mixed use scheme. Library district housing cente residential and commercial floorspace.
2007,506000119,,,548877,182868,,CHLORIDE BATTERIES SITE,CHEQUERS LANE,,DAGENHAM,,Barking and Dagenham,G. London,London,7.300,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,INDUSTRY AND BUSINESS,INDUSTRY & BUSINESS,Detailed Planning Permission,Employment,Don't know,Employment,0,0,Don't know,Outline perm 01/00308/OUT and 04/00524 for 17000 sqm B1 B2 and B8. Res matters approval 16/12/05 (05/01056). See also separate entry for Chloride Batteries East site.
2007,509000105,,UDP - H29,524200,191830,,INGLIS BARRACKS,FRITH LANE,MILL HILL,,NW7,Barnet,G. London,London,32.580,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Defence,Allocated in Local Plan,Mixed with Housing,Yes,Dont't know,2000,61,Other Public,Part of Barracks has been redeveloped (application ref: W01708X/99
2007,509000124,,,523177,187228,,CRICKLEWOOD RAILWAY SIDINGS,BOUND BY A406 HENDON WAY AND EDGWARE ROAD,CRICKLEWOOD,,,Barnet,G. London,London,64.000,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,2000,31,Local Authority,
2007,509000125,,UDP - H7,521082,190034,,COLINDALE HOSPITAL,COLINDALE AVENUE,COLINDALE,,NW4,Barnet,G. London,London,6.600,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Community Services,Allocated in Local Plan,Housing,Yes,Mixed,300,45,Other Public,LISTED BUILDING NEXT TO UNDERGROUND STATION THAT REQUIRES EMPLOYMENT PROVISION AS WELL AS HOUSING THE SITE IS CURRENTLY OCCUPIED BY A HOSPITAL WHICH IS DUE TO BE DECOMMISSIONED THE TRUST IS CURRENTLY FINALISING THEIR PLANS FOR THE SITE
2007,509000126,,,520618,189900,,MILLET HOUSE,THE HYDE,COLINDALE,,NW4,Barnet,G. London,London,0.500,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Mixed with Housing,Yes,Mixed,126,252,Private,Application W00407AW/03 for mixed use development has been withdrawn
2007,509000128,,UDP - 9,521676,188668,,BT DEPOT AND JEWSONS BUILDING,THE HYDE,,COLINDALE,NW4,Barnet,G. London,London,0.600,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Manufacturing,Allocated in Local Plan,Employment,No,Employment,0,0,Private,
2007,509000131,,00070,527168,189106,,THE NATIONAL HOSPITAL FOR NEUROLOGY AND NEUROSURGERY,GREAT NORTH ROAD,EAST FINCHLEY,,N2 0NW,Barnet,G. London,London,1.400,D - Previously developed land or buildings currently in use and allocated in local plan or with planning permission,Unknown,Community Services,Detailed Planning Permission,Mixed with Housing,Yes,Mixed,17,12,Private,Planning application has been approved to demolish existing building - C00070M/04. Also allocated in UDP
